code,en,th
site.name,Bonjour,
nav.home,Home,
nav.languages,Languages,เลือกภาษา
nav.messages,Messages,
nav.content,Content,
nav.video,Video,
title.languages,"Available Languages",ภาษา
title.messages,"Translated Messages",
title.video,"Screencast Video",
help,,ช่วยเหลือ
code,,โค้ด
undefined,,
instructions.for.translating.these.messages,,
learn.more.about.setting.up.languages,,
home,,หน้าแรก
your.form.was.successfully.submitted,,
about.us,,เกี่ยวกับเรา
contact.us,,ติดต่อเรา
pricing.table,,
services,,
sign.in,,เข้าสู่ระบบ
register,,ลงทะเบียน
error.page,,"Error Page"
404.page,,
portfolio,,
project,,
blog,,เนื้อหาและบทความ
blog.post,,
shop,,
product,,
cart,,
ui.elements,,
log.in,,เข้าสู่ระบบ
sign.out,,ออกจากระบบ
,,
languages,,เลือกภาษา
login.profile,,ข้อมูลส่วนตัว
new.course,,เขียนแผนการศึกษา
page.not.found.404,,
edit.course,,แก้ไขแผนการศึกษา
my.profile,,ข้อมูลส่วนตัว
login,,เข้าสู่ระบบ
hello,,สวัสดี
post,,เนื้อหา
user.menu,,
courses,,แผนการศึกษา
tabs,,
tests,,
about,,
contact,,ติดต่อเรา
save,,บันทึก
save.as,,บันทึกเป็น
remove,,ลบทิ้ง
template,,ตัวอย่าง
new.evaluation,,เขียนแบบประเมิน
evaluation,,แบบประเมิน
select.evaluation,,เลือกแบบประเมิน
select.course,,เลือกแผนการศึกษา
new.evaluate,,
edit.evaluation,,แก้ไขแบบประเมิน
categories,,หมวดหมู่
tags,,ป้ายคำค้น
category,,หมวดหมู่
read.more,,
tagged,,ค้นหาจากป้ายคำค้น
related.posts,,เนื้อหาที่เกี่ยวข้อง
status,,สถานะ
new.post,,เขียนเนื้อหา
edit.post,,แก้ไขโพสต์
description,,รายละเอียด
feature.image,,รูปภาพแนะนำ
edit,,แก้ไข
testing,,
edit.profile,,แก้ไขข้อมูลส่วนตัว
what.we.do,,
