207.46.13.117, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 912529
157.55.39.97, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 919916
157.55.39.97, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 962387
40.77.167.144, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 935332
40.77.167.144, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 994350
207.46.13.53, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 941899
207.46.13.53, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 969228
157.55.39.180, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 963944
157.55.39.180, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 932553
207.46.13.148, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 989794
157.55.39.221, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 978103
157.55.39.105, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 921116
40.77.167.158, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 926424
207.46.13.28, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 934940
207.46.13.28, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 947718
13.66.139.0, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 931334
157.55.39.61, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 999140
207.46.13.59, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 969798
207.46.13.59, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 989230
157.55.39.182, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 964649
157.55.39.182, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 991963
157.55.39.182, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 983898
157.55.39.61, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 982159
157.55.39.61, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 916744
207.46.13.23, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 946302
207.46.13.23, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 952318
207.46.13.23, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 963827
157.55.39.182, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 970582
40.77.167.59, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 983237
40.77.167.59, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 961130
157.55.39.60, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 955518
157.55.39.188, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 940064
157.55.39.120, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 975965
157.55.39.120, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 919891
40.77.167.124, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 914523
40.77.167.124, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 969684
157.55.39.210, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 961935
157.55.39.210, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 922605
157.55.39.210, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 993207
207.46.13.94, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 917796
207.46.13.94, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 950501
207.46.13.67, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 935305
40.77.167.115, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 971411
40.77.167.115, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 924214
40.77.167.141, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 948999
40.77.167.141, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 992109
207.46.13.178, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 978474
207.46.13.178, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 925363
207.46.13.48, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 994581
207.46.13.48, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 940235
207.46.13.48, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 993369
207.46.13.115, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 961801
207.46.13.115, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 971593
207.46.13.115, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 997148
40.77.167.141, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 946629
40.77.167.141, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 954620
40.77.167.32, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 933230
40.77.167.32, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 913776
40.77.167.75, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 966254
40.77.167.75, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 998621
40.77.167.67, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 995552
207.46.13.136, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 922154
40.77.167.173, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 979505
40.77.167.173, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 989121
40.77.167.56, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 965398
40.77.167.56, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 921281
157.55.39.152, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 986765
157.55.39.152, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 911123
207.46.13.184, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 956838
207.46.13.184, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 990047
40.77.167.173, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 965061
40.77.167.22, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 956265
157.55.39.223, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 928855
157.55.39.216, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 949953
157.55.39.66, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 911980
157.55.39.216, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 957627
207.46.13.89, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 965653
207.46.13.89, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 947819
157.55.39.188, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 942952
207.46.13.183, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 978663
40.77.167.53, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 992999
157.55.39.127, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 933172
157.55.39.236, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 977075
157.55.39.115, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 962565
40.77.167.148, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 948596
40.77.167.112, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 921352
157.55.39.51, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 948094
40.77.167.4, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 948705
207.46.13.153, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 936387
207.46.13.49, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 974381
207.46.13.49, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 923085
40.77.167.78, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 972678
207.46.13.205, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 986641
157.55.39.106, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 937644
40.77.167.117, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 981084
157.55.39.233, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 940499
207.46.13.133, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 915901
40.77.167.91, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 972527
207.46.13.152, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 951774
207.46.13.152, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 951598
157.55.39.191, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 940889
157.55.39.194, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 936750
207.46.13.77, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 965779
207.46.13.83, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 955438
157.55.39.154, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 940833
40.77.167.88, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 983071
207.46.13.92, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 926160
207.46.13.190, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 922012
40.77.167.108, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 928258
157.55.39.151, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 922152
207.46.13.95, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 949089
207.46.13.95, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 937310
40.77.167.126, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 929141
40.77.167.74, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 959727
207.46.13.155, Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm), 949295
